Sample	X101.10T1	X101.11T1	X101.12T1	X101.13T1	X101.14T1	X101.15T1	X101.1T1	X101.2T1	X101.3T1	X101.4T1	X101.5T1	X101.6T1	X101.7T1	X101.8T1	X101.9T1	X101C.10T1	X101C.11T1	X101C.12T1	X101C.13T1	X101C.14T1	X101C.15T1	X101C.1T1	X101C.2T1	X101C.3T1	X101C.4T1	X101C.5T1	X101C.6T1	X101C.7T1	X101C.8T1	X101C.9T1	C101.10T1	C101.11T1	C101.12T1	C101.13T1	C101.14T1	C101.15T1	C101.1T1	C101.2T1	C101.3T1	C101.4T1	C101.5T1	C101.6T1	C101.7T1	C101.8T1	C101.9T1	C.10T1	C.11T1	C.12T1	C.13T1	C.14T1	C.15T1	C.1T1	C.2T1	C.3T1	C.4T1	C.5T1	C.6T1	C.7T1	C.8T1	C.9T1
Zotu597	6	2	2	2	4	1	2	0	1	4	0	6	4	8	0	1	4	2	6	3	1	5	6	2	8	1	4	1	2	1	0	1	4	0	0	1	10	0	2	0	4	1	1	1	0	1	5	3	1	3	2	1	0	2	9	1	0	9	1	1
Zotu667	5	0	0	2	1	2	4	2	0	7	1	4	0	3	4	0	13	16	1	20	10	2	33	3	22	16	5	7	11	15	1	3	1	3	2	1	3	1	2	4	0	4	7	2	1	5	1	5	25	9	3	2	11	3	9	11	9	11	26	28
Zotu126	110	35	41	15	20	24	34	14	44	21	20	29	21	27	56	11	14	3	9	13	3	8	0	5	2	6	3	5	2	4	10	96	112	138	87	86	268	58	108	60	123	207	81	67	15	4	18	3	6	1	18	2	4	5	24	133	24	4	9	7
Zotu383	31	1	0	0	0	2	0	1	4	1	2	11	0	6	2	1	0	3	1	5	4	27	8	8	0	12	3	5	3	2	0	0	1	1	8	0	4	0	9	0	1	0	2	2	0	3	39	8	20	26	4	2	0	23	1	3	2	5	5	0
Zotu564	8	13	11	17	8	8	7	12	6	6	5	7	10	11	19	1	3	8	1	5	5	2	5	2	0	7	0	5	1	4	4	3	3	4	0	3	11	2	3	1	3	5	4	5	2	3	1	0	1	3	3	3	3	0	6	7	2	0	3	5
Zotu86	27	16	17	16	33	24	21	7	26	21	6	14	33	10	31	10	17	20	6	19	7	17	17	12	13	14	6	10	18	8	17	14	46	13	9	18	9	10	45	16	18	10	27	29	14	14	13	24	6	11	39	4	11	13	5	28	11	13	15	19
Zotu748	2	3	2	2	0	6	0	5	4	0	1	7	1	0	2	4	0	5	1	6	0	2	0	5	0	0	0	0	0	0	0	2	3	0	5	0	1	0	2	1	0	3	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu318	1	0	0	0	0	0	0	0	1	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	26	6	0	0	0
Zotu444	5	8	5	45	7	4	6	6	4	8	4	6	1	33	23	3	7	6	4	8	1	11	19	8	1	4	3	6	15	2	1	10	20	6	3	4	3	4	4	9	1	4	5	6	2	6	3	2	2	5	14	4	24	8	5	0	6	2	6	18
Zotu734	1	2	1	3	1	2	1	0	5	2	0	0	3	2	2	5	4	5	1	2	1	9	5	3	7	2	4	0	6	3	4	2	6	4	2	6	1	1	1	0	2	3	5	1	2	0	0	5	1	2	0	1	0	2	3	0	1	2	3	1
Zotu593	22	9	23	102	14	37	25	27	6	20	11	11	9	20	34	4	7	7	4	13	5	12	10	0	1	15	0	8	6	1	8	30	15	43	7	24	21	7	7	29	6	9	13	19	9	2	2	4	0	4	14	1	8	14	23	11	5	2	2	18
Zotu880	7	10	2	3	2	1	11	2	2	15	2	2	1	13	9	2	16	0	0	2	5	1	15	0	0	2	0	0	2	5	4	4	1	13	14	9	1	1	22	4	10	7	3	5	2	3	0	2	5	1	6	0	6	1	5	25	19	2	0	2
Zotu399	29	0	1	0	0	37	2	22	2	6	5	9	1	2	25	5	0	1	0	3	4	0	0	33	0	0	8	0	2	0	0	4	1	2	2	2	0	0	0	2	0	0	0	0	1	51	4	0	1	9	20	11	2	0	0	0	4	3	6	0
Zotu116	4	5	13	4	8	41	30	2	1	4	4	4	1	2	16	13	5	2	0	10	4	7	0	3	4	0	1	0	5	0	1	6	10	6	12	2	10	6	15	8	10	10	8	20	14	11	1	0	0	0	2	0	0	0	5	0	0	1	0	0
Zotu976	3	0	0	0	3	0	0	2	6	0	0	0	0	0	0	2	0	3	0	2	1	3	0	4	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	3	0	0	0	0	0	0	1	0	0
Zotu668	14	0	0	0	1	1	0	2	0	0	0	0	1	0	5	0	0	0	0	0	1	1	0	17	0	0	0	0	0	0	5	3	6	1	1	0	1	1	8	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu595	2	6	7	0	4	5	8	0	1	1	0	2	1	0	1	1	12	7	2	2	13	0	4	18	8	5	5	2	18	10	0	1	2	3	0	3	2	2	6	2	2	3	5	5	0	7	7	13	10	2	2	5	2	6	4	2	6	13	4	2
Zotu684	2	8	7	7	4	12	4	4	7	4	5	8	13	2	3	2	0	6	0	1	0	2	48	1	6	1	2	1	3	0	0	0	1	6	1	2	0	0	2	1	6	3	3	4	4	1	0	4	3	0	0	0	0	0	0	2	0	1	2	0
Zotu460	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Zotu618	3	6	14	15	4	2	12	4	7	3	9	1	16	9	3	9	4	14	7	4	17	10	9	16	5	3	11	8	7	6	20	1	2	7	11	15	6	18	19	3	4	3	3	5	9	3	12	3	21	5	5	8	2	4	6	3	5	4	6	5
Zotu111	2	0	0	0	0	0	1	0	0	13	0	1	0	0	0	16	0	3	0	0	0	7	0	0	0	474	4	0	0	0	0	0	0	2	1	0	0	1	2	0	0	0	4	1	35	10	355	0	1	0	118	7	0	0	54	2	14	0	0	0
Zotu866	1	1	1	5	11	1	8	1	2	3	1	1	5	1	1	0	1	3	0	0	0	0	1	0	0	0	1	2	0	0	7	0	0	1	1	0	0	2	2	0	2	1	2	0	3	0	0	4	1	0	0	0	1	0	0	2	0	0	1	0
Zotu589	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	17	1	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	26	2	19	11	8	2	0	0	0	0	1	144	0	2	80	0	0	0	0	0	2	0	0	0	0	213
Zotu120	10	1	25	5	48	10	1	2	6	18	4	9	2	16	9	13	38	56	12	55	76	29	76	52	87	37	44	22	31	68	2	3	7	4	3	4	18	8	12	14	5	9	25	7	4	10	29	75	107	66	29	32	86	41	48	47	54	76	66	149
Zotu606	5	1	1	5	7	7	4	0	7	2	5	4	9	2	1	4	6	1	3	2	4	0	2	0	0	1	4	5	3	0	4	3	4	3	1	4	5	1	4	1	1	4	2	1	3	4	6	5	2	0	2	0	0	0	3	4	2	3	4	4
Zotu261	32	14	1	9	4	5	4	5	1	12	2	38	4	27	13	0	23	19	8	28	12	10	55	22	24	18	5	10	24	14	0	12	0	5	11	3	24	0	1	10	2	1	5	2	0	4	11	19	27	18	18	16	19	17	22	52	21	10	27	58
Zotu647	8	2	2	6	1	0	8	1	1	1	0	4	0	2	6	3	2	3	1	7	19	1	1	0	1	0	3	2	0	0	3	0	13	3	2	0	4	5	3	1	0	2	0	1	2	0	0	2	1	1	0	0	0	0	1	3	1	0	0	0
Zotu742	21	3	20	4	1	14	6	0	8	2	18	9	33	0	6	22	0	7	3	0	0	0	0	1	0	0	0	0	0	0	0	1	1	51	9	0	0	1	3	2	3	0	0	2	2	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0
Zotu78	35	33	1	4	7	69	22	30	8	151	6	8	55	34	29	15	3	201	82	12	7	12	8	30	17	15	8	3	11	6	15	23	11	34	26	17	57	11	16	219	64	20	58	41	11	7	11	3	0	203	34	3	0	1	12	4	9	98	169	8
Zotu81	27	19	12	11	15	15	21	12	4	22	15	16	8	24	21	3	35	30	11	76	27	18	13	16	72	42	31	30	31	26	8	30	16	26	13	9	59	23	82	157	13	11	36	20	27	28	60	37	18	31	29	20	97	51	64	35	53	24	49	60
Zotu948	6	3	1	6	1	4	1	0	0	2	2	2	1	3	2	0	2	1	2	0	4	0	5	2	0	4	3	1	1	0	0	1	2	1	0	0	3	0	1	1	0	0	0	0	3	3	0	2	0	4	0	0	0	0	2	1	0	2	2	2
Zotu390	17	2	1	0	5	9	2	0	74	4	33	3	11	0	27	7	0	1	6	1	4	17	5	36	0	0	3	18	7	0	2	16	3	16	14	22	1	4	4	14	25	6	3	47	3	12	1	0	0	0	0	0	0	0	4	0	1	1	0	0
Zotu428	9	4	3	9	3	3	4	2	2	10	0	5	7	10	11	5	4	15	8	8	11	14	9	5	16	9	9	8	32	17	0	1	2	2	3	4	5	1	3	6	1	2	4	6	0	7	7	3	4	5	11	6	8	5	10	13	3	6	14	7
Zotu58	21	62	24	54	31	59	74	27	67	41	34	35	91	0	52	39	14	49	12	40	38	79	13	43	57	3	64	13	135	31	4	7	11	87	29	20	3	17	17	15	35	49	45	41	19	9	2	60	2	29	34	1	1	5	37	3	4	62	13	0
Zotu461	11	3	0	1	1	4	1	3	3	0	0	11	1	3	1	1	3	8	3	9	13	2	3	21	3	16	7	0	5	3	0	16	3	0	4	0	10	0	7	5	3	3	2	2	0	2	3	20	3	19	8	23	5	3	2	4	6	10	17	1
Zotu586	13	2	11	1	5	5	1	6	1	2	4	4	0	92	5	1	3	0	3	7	10	0	0	3	0	6	2	0	2	0	0	4	9	16	8	5	3	7	15	8	15	1	12	9	9	2	2	1	0	1	8	2	1	0	1	2	0	1	2	3
Zotu63	12	6	24	0	14	12	3	12	5	0	12	3	16	7	8	7	54	8	27	1	59	2	0	22	7	0	8	23	2	0	53	8	3	1	6	5	63	4	12	30	2	0	19	12	1	19	7	4	2	5	10	16	1	2	0	3	12	25	122	1
Zotu147	10	20	3	8	7	11	10	6	18	7	7	9	6	4	2	4	2	15	6	10	10	20	25	13	32	4	21	2	34	7	2	15	2	6	5	4	0	3	9	1	10	5	17	10	6	2	2	16	6	19	5	1	6	5	10	1	7	15	7	0
Zotu584	7	23	1	4	5	6	5	4	9	16	4	16	8	6	18	1	35	1	5	8	6	4	24	0	5	7	3	15	11	12	6	16	4	12	4	19	13	7	9	11	9	5	38	3	9	5	6	1	48	5	29	2	35	7	8	37	41	2	6	47
Zotu879	6	4	1	3	2	4	0	1	6	2	4	4	5	6	7	3	1	8	5	5	4	7	3	2	4	7	7	7	10	3	3	3	5	8	2	10	0	0	6	0	2	0	0	4	6	2	6	7	2	0	3	1	4	2	3	7	2	0	1	2
Zotu112	11	3	13	3	9	11	32	10	11	7	1	5	12	9	15	2	0	1	1	3	1	1	2	1	1	1	1	0	3	2	2	5	29	8	7	14	5	7	9	3	5	15	8	19	10	17	2	2	0	1	3	0	0	0	3	2	1	0	3	0
Zotu963	4	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	7	0	3	0	1	25	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	4	0	0	0	0	0
Zotu555	4	3	4	2	3	4	8	7	14	10	4	3	9	6	15	5	1	2	3	4	5	1	0	3	1	2	1	3	3	3	0	1	3	4	2	4	2	0	7	3	7	0	1	2	3	0	4	2	1	0	8	0	3	6	3	25	5	3	5	7
Zotu688	9	14	0	4	0	20	0	15	9	1	2	8	3	50	28	1	0	2	0	12	2	14	1	0	0	0	10	63	5	0	2	11	1	7	5	4	1	0	0	3	0	1	2	2	2	11	1	0	0	1	2	0	0	0	0	1	4	0	1	0
Zotu409	15	3	2	3	0	2	15	6	4	7	1	13	1	4	12	2	12	4	2	21	1	9	7	2	9	10	4	4	7	5	0	4	3	7	2	6	4	0	7	13	3	1	5	5	1	4	3	6	15	1	16	4	26	11	11	18	49	2	17	35
Zotu189	11	11	10	4	11	11	8	9	4	13	2	8	1	27	29	14	26	16	10	14	11	23	45	15	11	13	6	10	28	32	4	2	7	8	4	14	21	11	6	12	7	1	4	7	6	22	15	21	19	19	36	6	46	26	26	35	33	20	19	37
Zotu241	8	13	22	32	47	8	36	12	78	22	42	5	22	15	15	17	25	9	17	8	12	16	22	5	4	21	15	17	17	8	33	6	7	5	9	13	9	42	10	9	9	10	8	13	6	6	12	9	17	4	12	10	12	6	30	19	28	1	9	29
Zotu291	15	40	8	7	12	8	10	4	7	19	8	10	11	12	19	15	25	12	6	21	5	17	74	16	24	14	6	20	22	26	0	5	19	14	12	7	8	6	17	10	14	7	25	8	6	9	4	18	50	17	30	6	14	53	15	28	18	3	8	45
Zotu148	38	9	4	1	0	12	4	3	7	1	4	22	6	24	22	7	2	13	64	7	23	3	0	53	1	2	4	154	5	6	3	6	21	23	61	7	173	0	8	39	57	4	12	8	14	80	21	3	3	9	4	128	5	0	3	1	9	4	4	0
Zotu226	16	32	14	64	12	9	33	31	25	32	20	60	16	12	39	12	3	1	10	8	0	7	8	2	4	3	5	8	3	1	14	17	18	32	14	7	11	7	4	1	11	5	9	16	3	11	3	13	1	2	9	1	1	2	3	0	8	3	3	0
Zotu104	58	119	69	31	153	28	21	6	32	77	77	22	34	26	29	31	24	51	14	119	33	33	52	23	30	93	56	38	22	32	110	67	132	103	84	158	165	52	109	70	148	67	106	27	55	15	16	35	64	50	50	33	32	20	110	75	62	32	82	43
Zotu431	4	6	6	7	13	9	14	5	6	17	2	2	6	3	9	5	5	14	2	8	5	14	7	7	13	5	7	5	10	12	3	6	8	9	8	8	1	1	4	4	12	9	15	9	13	2	1	5	9	6	12	1	10	2	8	16	16	3	3	5
Zotu717	2	2	5	0	3	2	0	2	0	1	0	2	3	0	0	1	2	0	0	1	0	2	0	7	1	1	0	4	2	2	2	2	3	2	2	1	4	0	2	2	0	0	4	1	1	4	3	1	0	2	2	6	3	1	4	0	0	1	5	3
Zotu674	40	23	29	17	5	6	51	9	6	26	3	9	4	14	25	23	3	0	7	24	4	10	1	0	0	7	6	42	10	7	7	89	9	110	20	30	27	34	5	23	6	17	32	68	21	10	1	10	1	4	25	1	3	2	3	2	2	2	4	1
Zotu182	33	10	4	6	15	10	22	12	7	28	14	13	10	17	32	23	2	8	13	8	7	19	2	6	7	26	11	12	11	16	8	12	15	22	10	4	13	8	19	29	9	10	7	6	10	24	22	0	2	2	11	2	8	7	25	9	16	8	12	5
Zotu749	4	4	1	2	0	1	3	0	1	9	0	1	2	1	0	1	3	2	1	4	2	3	4	1	1	0	3	3	2	3	5	1	2	3	5	3	0	1	3	0	5	5	3	3	2	1	3	0	0	0	4	0	3	1	2	7	5	2	2	1
Zotu40	27	50	14	32	17	24	32	25	204	30	115	28	310	4	14	231	614	22	66	32	37	70	34	2	32	93	23	12	9	47	1284	650	131	314	328	131	54	517	68	59	127	100	90	43	43	1	541	220	324	3	17	3	460	64	146	188	27	13	15	46
Zotu100	12	14	17	31	4	5	1	5	37	3	1	38	18	54	24	16	4	40	8	9	11	41	16	54	1	0	19	50	27	1	6	31	25	29	12	3	3	7	8	10	15	11	8	8	1	15	8	2	0	55	10	6	0	1	1	2	16	9	11	0
Zotu702	21	23	3	24	10	10	11	4	10	19	6	20	16	29	19	20	19	3	5	12	4	10	23	10	6	14	10	15	20	11	8	26	18	11	16	10	38	14	5	20	9	4	13	20	5	20	16	9	24	11	49	10	104	21	20	42	25	7	12	62
Zotu931	6	1	1	0	1	2	0	2	0	0	0	1	4	0	1	2	9	2	1	5	0	7	0	2	10	2	6	0	5	13	0	0	1	1	1	3	0	0	6	1	2	3	9	3	3	2	1	2	7	1	3	6	6	2	3	1	7	9	5	1
Zotu57	6	25	8	1	3	17	12	7	6	9	0	7	4	38	20	0	2	1	7	22	0	0	1	0	0	0	3	10	15	0	5	18	11	1	9	1	8	2	0	6	4	5	2	1	0	2	0	0	0	0	1	7	0	0	0	0	0	0	0	1
Zotu602	3	5	3	5	2	1	3	4	7	6	2	9	4	5	4	9	3	1	2	6	0	7	3	2	3	2	2	0	1	1	3	8	4	5	6	3	1	0	2	4	5	2	1	4	4	1	2	1	0	0	1	0	0	1	5	0	6	0	6	1
Zotu516	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	20	9	23	41	12	2	7	0	4	6	28	5	13	12	0	1	0	4	4	8	7	2	12	4	25	68	3	17	3	0	1	14	0	0	7	1	0	11	10	1	0
Zotu709	0	3	1	0	0	0	2	0	0	1	3	0	2	0	0	0	1	0	1	0	0	0	7	10	2	0	5	0	1	0	0	0	3	0	29	0	4	8	0	40	38	4	0	0	14	0	4	0	0	0	1	0	0	0	0	0	0	0	1	0
Zotu284	9	27	1	0	2	1	1	1	0	6	0	21	2	1	1	5	0	2	16	14	4	7	0	16	4	0	11	0	0	0	17	20	10	60	37	5	41	72	14	169	98	45	18	8	42	53	1	4	0	2	18	7	0	0	0	2	0	0	9	0
Zotu664	0	1	1	1	0	0	1	1	1	0	3	0	2	0	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	2	3	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	1	2	0	2	0	0
Zotu490	2	3	4	5	4	3	4	2	2	6	3	3	4	4	3	6	11	4	1	11	4	0	6	4	5	3	3	2	8	3	2	1	3	0	0	2	0	1	0	0	3	0	0	3	4	2	20	3	2	7	27	2	7	2	1	9	10	6	6	6
Zotu705	14	23	2	1	14	2	6	5	1	2	2	6	16	11	6	48	3	7	12	9	11	15	10	13	13	4	11	3	5	40	2	4	8	1	4	3	20	0	4	12	0	15	3	8	9	1	1	9	1	13	11	24	10	20	14	0	3	21	8	1
Zotu97	6	5	0	0	0	1	2	0	1	0	2	14	0	2	6	0	3	0	0	0	1	4	5	0	0	0	0	1	2	1	2	0	1	3	3	2	6	0	0	0	1	0	1	0	2	1	1	1	2	0	0	1	0	0	1	3	4	1	2	1
Zotu681	9	0	0	2	1	5	0	10	3	0	8	4	5	3	1	0	0	9	0	0	4	12	0	1	0	0	2	4	0	0	0	3	2	5	10	0	1	0	0	3	0	3	0	1	2	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0
Zotu862	3	2	0	3	3	2	4	1	0	0	0	0	0	6	7	1	3	2	2	3	0	2	9	4	0	1	5	3	6	1	0	2	2	0	3	1	6	0	3	0	2	1	4	1	1	4	2	0	3	2	8	3	14	3	4	7	1	0	5	9
Zotu93	24	8	39	25	40	22	7	3	19	29	8	11	20	6	11	8	13	52	5	72	34	42	22	63	83	18	41	7	69	33	10	15	28	13	12	9	14	7	40	17	21	18	23	18	15	18	24	38	9	15	20	17	22	18	24	7	24	19	20	17
Zotu206	15	20	5	8	2	31	17	21	21	5	14	18	6	5	16	6	24	8	18	5	10	7	8	12	9	24	4	20	10	20	6	8	8	21	13	7	15	6	1	8	6	16	11	7	4	18	235	2	4	8	9	9	4	3	9	8	8	12	10	7
Zotu600	4	15	0	0	2	0	3	0	1	0	0	49	1	1	4	1	0	3	0	3	6	6	2	16	13	0	11	0	8	6	2	3	0	0	11	0	0	0	0	0	3	2	0	0	0	8	25	10	24	20	2	4	0	6	1	4	12	1	14	1
Zotu729	1	0	1	0	7	0	1	0	8	0	2	5	13	0	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	3	1	1	3	7	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu840	8	1	1	1	1	2	4	0	3	2	0	3	2	9	5	2	4	8	2	3	2	1	7	2	4	6	1	1	3	1	3	3	5	1	1	0	2	1	2	2	1	4	6	2	3	3	2	3	5	1	11	1	3	2	4	20	6	4	6	7
Zotu849	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Zotu815	2	1	2	2	1	0	4	3	5	13	2	13	8	3	2	12	5	6	3	8	3	4	5	2	6	1	1	2	4	15	3	3	5	1	3	3	1	1	3	8	3	1	6	4	1	2	0	6	3	7	1	1	1	3	4	12	7	1	0	2
Zotu907	20	12	10	10	6	6	16	2	2	19	3	18	16	7	13	3	18	7	2	8	4	9	3	1	3	7	1	19	10	10	9	21	2	22	11	12	9	1	1	7	5	3	11	12	11	3	2	3	2	0	2	1	6	4	3	16	5	2	7	7
Zotu153	17	3	0	0	0	2	1	45	6	16	49	3	1	22	3	29	0	1	4	0	11	0	0	31	2	1	8	0	7	0	15	47	9	27	38	0	55	2	4	32	57	175	76	14	2	253	2	83	3	0	1	1	0	0	4	3	0	0	15	0
Zotu238	5	13	4	20	11	10	13	4	3	14	2	2	16	11	10	5	8	3	2	8	10	4	7	6	6	8	2	8	15	3	11	4	7	9	3	13	1	2	7	5	6	6	4	6	4	6	8	7	1	3	10	2	2	6	6	22	4	5	1	10
Zotu472	9	4	6	3	8	5	5	2	6	2	3	3	3	3	2	0	1	4	2	2	3	6	1	3	2	3	2	3	3	1	9	3	7	1	3	1	1	3	8	4	4	1	6	6	4	5	8	4	1	5	2	5	0	2	2	4	5	5	4	4
Zotu319	1	0	0	0	0	0	1	0	0	0	0	2	1	0	1	5	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	2	0	1	2	0	0	0	1	0	1	0	0	0	1	0	0	0	2	0	1	0	0	0	1	0	0
Zotu839	13	1	0	1	0	0	2	0	0	0	1	0	0	1	9	0	23	5	0	10	15	0	1	2	25	0	17	0	8	7	0	0	0	0	0	0	6	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	0	3	0	0	0	1	0	0
Zotu188	24	5	13	4	0	2	2	1	3	9	2	2	2	0	3	2	3	11	1	4	4	3	0	16	25	1	36	0	13	9	1	4	8	1	8	0	0	18	3	1	2	13	1	5	7	1	0	0	2	24	4	1	17	0	3	8	4	14	3	3
Zotu242	13	7	7	6	19	10	37	4	5	9	5	7	7	2	19	11	16	4	4	2	4	4	1	3	3	2	3	10	7	1	4	2	17	8	5	9	7	2	9	6	2	5	19	18	8	23	7	5	2	2	6	2	9	3	13	1	4	9	10	3
Zotu179	25	8	0	19	14	8	12	11	32	58	0	7	7	36	29	11	43	4	10	30	3	33	53	2	63	6	0	53	11	18	27	21	7	20	48	86	4	3	114	170	15	28	80	21	11	6	0	9	41	53	65	3	74	3	24	134	66	41	14	56
Zotu557	10	5	5	3	5	4	3	3	1	13	2	9	6	6	9	5	16	21	7	16	12	11	21	10	33	16	13	16	41	35	3	2	6	16	3	7	5	7	12	10	13	13	21	11	10	14	4	14	8	8	11	8	17	17	24	22	9	21	8	30
Zotu488	3	8	4	14	21	4	13	7	29	5	38	4	13	10	6	2	29	2	1	2	2	12	13	2	7	26	2	3	3	2	28	3	2	5	1	3	4	10	7	0	9	9	7	8	1	2	4	3	17	0	10	2	9	1	8	11	4	1	2	5
Zotu845	5	1	1	1	0	1	0	0	3	2	1	6	2	0	3	0	0	6	1	3	0	3	9	2	2	0	0	0	16	2	1	2	0	2	1	1	0	0	2	1	0	1	1	2	0	0	1	13	5	1	5	1	0	2	2	1	5	0	1	1
Zotu158	5	6	2	7	2	22	11	4	7	23	5	9	9	17	21	7	55	15	7	24	32	50	21	24	38	27	19	33	38	54	3	15	8	5	8	5	35	0	28	10	7	7	20	11	16	22	20	23	12	24	22	21	27	16	50	25	26	39	30	7
Zotu207	15	15	6	4	17	13	23	11	1	13	1	18	11	12	17	5	10	9	2	24	18	14	17	7	16	16	15	6	6	3	3	4	7	5	2	3	7	8	15	20	2	2	8	7	3	4	6	29	29	10	29	11	19	7	19	57	64	10	15	31
Zotu214	22	15	44	37	17	26	40	9	2	13	14	27	7	60	28	0	17	1	1	0	3	4	2	0	0	7	0	10	6	0	4	15	4	21	9	38	10	9	9	23	7	5	6	17	4	6	4	1	0	0	6	0	5	6	16	10	11	1	3	16
Zotu561	2	5	0	2	1	1	0	1	0	4	1	7	0	1	9	1	1	5	1	0	1	1	0	2	0	0	0	0	2	0	1	2	1	3	3	1	2	0	2	1	0	6	1	2	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1
Zotu331	12	3	0	0	1	12	21	1	0	1	1	0	3	6	3	0	0	2	0	1	2	2	3	1	1	8	0	0	0	1	0	0	4	0	19	3	1	0	0	0	0	0	0	0	0	2	0	6	0	4	7	0	0	1	0	2	5	0	2	1
Zotu676	7	7	0	2	0	0	1	0	1	0	0	14	3	8	10	2	7	6	4	5	4	3	14	2	0	2	0	3	11	7	0	6	1	0	1	0	0	2	0	1	0	1	1	1	0	5	4	6	14	3	10	2	4	5	6	46	14	3	5	12
Zotu171	9	9	8	18	11	11	10	4	8	26	5	9	12	12	10	12	8	2	9	5	7	5	12	5	6	4	5	2	11	5	10	11	16	20	4	14	7	9	14	8	15	9	7	16	9	8	7	9	4	10	28	3	28	11	9	41	20	2	17	21
Zotu229	7	29	14	30	36	3	10	3	24	14	27	11	15	5	3	4	14	12	3	21	5	10	9	5	11	47	6	7	11	9	26	24	58	22	49	107	58	21	43	27	111	26	71	19	15	3	2	5	4	7	14	10	11	4	9	45	19	11	30	12
Zotu960	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0
Zotu841	2	2	5	1	3	3	10	2	2	5	3	5	5	1	9	7	4	3	3	6	8	17	12	2	14	4	4	1	9	10	4	5	20	19	13	7	10	4	5	4	7	13	9	14	18	0	3	4	12	3	1	1	1	3	4	5	1	5	1	6
Zotu282	13	5	2	12	2	1	9	8	3	4	4	4	4	2	6	4	6	4	2	7	2	3	1	7	5	3	2	2	8	0	5	3	8	9	5	8	5	0	0	3	4	4	3	10	1	9	8	7	0	3	3	9	0	2	1	2	0	0	4	3
Zotu878	6	17	15	28	15	32	22	53	25	7	50	7	51	9	22	11	11	6	5	30	4	23	14	13	4	1	6	0	35	13	7	6	5	14	9	10	1	6	8	0	18	2	5	9	7	8	3	3	13	7	4	2	3	3	2	6	3	3	1	9
Zotu685	3	0	18	0	0	1	0	0	0	0	26	0	0	33	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	3	0	0	0	0	1	0	1	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu656	7	1	2	4	1	2	9	4	2	10	1	10	1	2	5	0	6	8	3	10	2	3	11	2	5	10	3	2	3	13	1	4	5	5	5	19	2	3	3	3	1	0	24	3	4	2	5	11	36	9	7	4	60	15	4	37	26	4	2	26
Zotu778	2	2	0	0	2	1	2	11	0	2	0	1	0	9	1	0	0	2	0	4	1	6	0	3	0	0	0	1	0	3	0	2	0	1	2	0	0	0	0	10	0	0	1	1	1	3	7	0	0	0	0	0	0	1	0	0	1	0	0	1
Zotu323	1	0	0	1	0	2	0	0	0	1	0	0	3	0	9	2	0	1	0	0	0	0	0	5	0	0	1	2	2	0	2	4	7	1	2	1	1	2	1	0	6	2	3	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Zotu429	1	5	2	3	1	1	1	3	1	3	0	3	5	0	2	1	6	3	0	1	2	2	9	2	11	5	4	2	8	8	3	2	0	2	0	1	1	2	3	2	3	1	5	4	2	1	6	6	5	2	11	1	5	5	4	9	10	3	7	5
